size,linear_ms,bst_ms,rbt_ms,hash_ms,multimap_ms,collisions
100,4.384,1.528,1.264,0.799,1.467,23
500,19.872,2.918,2.095,0.924,2.004,144
1000,28.340,2.516,2.005,0.884,2.001,367
5000,141.016,3.945,2.998,1.081,2.632,3340
10000,283.904,5.233,4.136,1.355,3.100,8155
25000,712.357,9.226,6.550,2.248,4.122,23110
50000,1442.502,16.612,10.985,4.517,5.737,48097
100000,3150.509,32.364,19.732,11.005,8.715,98090
250000,7579.316,84.962,44.824,24.915,14.761,248087
500000,14627.192,198.486,127.688,85.874,43.271,498085
1000000,29228.396,448.617,221.360,111.127,52.515,998083
